vin,make,model,year,trim,style,odometer,,,,,,,,,,,,,,,,,,,,,,
1C4AJWAG0FL703038,Jeep,Wrangler,2015,Sport,4x4 Sport 2dr SUV,8859,,,,,,,,,,,,,,,,,,,,,,
1N4AL3AP3FC232064,Nissan,Altima,2015,2.5 S,2.5 S 4dr Sedan,18186,,,,,,,,,,,,,,,,,,,,,,
1C6RR7KT6ES336168,Ram,Ram Pickup 1500,2014,Express,4x4 Express 4dr Crew Cab 5.5 ft. SB Pickup,19400,,,,,,,,,,,,,,,,,,,,,,
1G6DP5E38D0127889,Cadillac,CTS,2013,3.6L Premium,3.6L Premium 4dr Sedan,31522,,,,,,,,,,,,,,,,,,,,,,
5TFDW5F1XFX448873,Toyota,Tundra,2015,SR5,SR5 4dr CrewMax Cab,16304,,,,,,,,,,,,,,,,,,,,,,
KNDMB5C13G6112053,Kia,Sedona,2016,LX,LX 4dr Mini-Van,30737,,,,,,,,,,,,,,,,,,,,,,
5TFDW5F11EX393227,Toyota,Tundra,2014,SR5,4x4 SR5 4dr CrewMax Cab Pickup SB (5.7L V8 FFV),36454,,,,,,,,,,,,,,,,,,,,,,
WAUVGAFH2BN002629,Audi,S5,2011,,AWD 3T quattro Prestige 2dr Convertible,56159,,,,,,,,,,,,,,,,,,,,,,
1HGCP2F32CA027867,Honda,Accord,2012,LX,LX 4dr Sedan,58841,,,,,,,,,,,,,,,,,,,,,,
1FTFW1R65DFD67579,Ford,F-150,2013,SVT Raptor,SVT Raptor 4dr SuperCrew 4WD,22336,,,,,,,,,,,,,,,,,,,,,,
JTHBP5C28C5010084,Lexus,IS F,2012,Base,4dr Sedan,42729,,,,,,,,,,,,,,,,,,,,,,
5J8TB3H58EL010288,Acura,RDX,2014,w/Tech,4dr SUV w/Technology Package,30716,,,,,,,,,,,,,,,,,,,,,,
2HGFB2F59FH544070,Honda,Civic,2015,LX,LX 4dr Sedan CVT,12319,,,,,,,,,,,,,,,,,,,,,,
WBAFV3C57ED686037,BMW,5 Series,2014,535d xDrive,AWD 535d xDrive 4dr Sedan,46348,,,,,,,,,,,,,,,,,,,,,,
2FMDK3K91EBA50044,Ford,Edge,2014,Limited,Limited 4dr SUV,39788,,,,,,,,,,,,,,,,,,,,,,
WBAKF9C58DE859779,BMW,3 Series,2013,335i xDrive,335i xDrive 2dr Coupe AWD,37228,,,,,,,,,,,,,,,,,,,,,,
3C63DRKL2CG163334,Ram,Ram Pickup 3500,2012,Laramie Longhorn,Laramie Longhorn 4dr Crew Cab 4WD,41715,,,,,,,,,,,,,,,,,,,,,,
1GDS7DC40E1163139,GMC,Savana Cargo,2014,1500,1500 3dr Wagon,6315,,,,,,,,,,,,,,,,,,,,,,
5YJSA1CP4DFP25581,Tesla,Model S,2013,Performance,Performance 4dr Liftback,28153,,,,,,,,,,,,,,,,,,,,,,
2GKALSEK1E6280810,GMC,Terrain,2014,SLT-1,SLT-1 4dr SUV,24265,,,,,,,,,,,,,,,,,,,,,,
JM1NC2NF7D0226905,Mazda,MX-5 Miata,2013,Grand Touring,Grand Touring 2dr Convertible,37543,,,,,,,,,,,,,,,,,,,,,,
1G6AB5RA8D0123139,Cadillac,ATS,2013,2.5L Luxury,2.5L Luxury 4dr Sedan,19495,,,,,,,,,,,,,,,,,,,,,,
NM0GE9F70G1233192,Ford,Transit Connect Wagon,2016,XLT,XLT 4dr Wagon,21078,,,,,,,,,,,,,,,,,,,,,,
2C3CCAFJ4CH801206,Chrysler,300,2012,SRT8,SRT8 4dr Sedan,39725,,,,,,,,,,,,,,,,,,,,,,
1FMJU1H51DEF50259,Ford,Expedition,2013,XLT,4x2 XLT 4dr SUV,36724,,,,,,,,,,,,,,,,,,,,,,
1LNHL9DKXDG618882,Lincoln,MKS,2013,Base,4dr Sedan,20093,,,,,,,,,,,,,,,,,,,,,,
1LNHL9DK6EG606228,Lincoln,MKS,2014,Base,4dr Sedan,11835,,,,,,,,,,,,,,,,,,,,,,
JN8CS1MWXDM175144,Infiniti,FX37,2013,Base,AWD 4dr SUV,35039,,,,,,,,,,,,,,,,,,,,,,
3VWD17AJ3FM236840,Volkswagen,Jetta,2015,,SE 4dr Sedan,33041,,,,,,,,,,,,,,,,,,,,,,
2FMDK3KC5CBA62982,Ford,Edge,2012,Limited,Limited 4dr SUV,50055,,,,,,,,,,,,,,,,,,,,,,
1FTFW1CT0DKE97016,Ford,F-150,2013,Lariat,Lariat 4dr SuperCrew Styleside 5.5 ft. SWB (3.5L 6,30371,,,,,,,,,,,,,,,,,,,,,,
5TFUW5F19FX455958,Toyota,Tundra,2015,SR5,4x4 SR5 4dr Double Cab Pickup SB (5.7L V8 FFV),54220,,,,,,,,,,,,,,,,,,,,,,
JN1BY1AP5DM510266,Infiniti,M37,2013,Base,4dr Sedan,32565,,,,,,,,,,,,,,,,,,,,,,
5N1CR2MN7EC656962,Nissan,Pathfinder Hybrid,2014,SL,SL 4dr SUV,27085,,,,,,,,,,,,,,,,,,,,,,
ZFBERFAT0G6B42529,Ram,ProMaster City Cargo,2016,Base,Base 4dr Mini-Van,3358,,,,,,,,,,,,,,,,,,,,,,
1GNSCCKC6FR230467,Chevrolet,Tahoe,2015,LTZ,4x2 LTZ 4dr SUV,57584,,,,,,,,,,,,,,,,,,,,,,
JTHBK1GG2E2105239,Lexus,ES 350,2014,,4dr Sedan,23429,,,,,,,,,,,,,,,,,,,,,,
1FM5K8GT0DGC85984,Ford,Explorer,2013,Sport,AWD Sport 4dr SUV,54624,,,,,,,,,,,,,,,,,,,,,,
5FNRL5H69EB072361,Honda,Odyssey,2014,EX-L,EX-L 4dr Mini-Van,42532,,,,,,,,,,,,,,,,,,,,,,
1C6RR6KT7ES458354,Ram,Ram Pickup 1500,2014,Express,4x2 Express 4dr Crew Cab 5.5 ft. SB Pickup,27372,,,,,,,,,,,,,,,,,,,,,,
1FTFW1CTXCFB14139,Ford,F-150,2012,Lariat,4x2 Lariat 4dr SuperCrew Styleside 5.5 ft. SB,46141,,,,,,,,,,,,,,,,,,,,,,
1C4RDHDG7GC301312,Dodge,Durango,2016,Limited,Limited 4dr SUV,21655,,,,,,,,,,,,,,,,,,,,,,
4JGDA2EB1CA012902,Mercedes-Benz,M-Class,2012,ML350 BlueTEC,ML350 BlueTEC 4MATIC 4dr SUV AWD,53136,,,,,,,,,,,,,,,,,,,,,,
19XFB2F85EE017520,Honda,Civic,2014,EX,EX 4dr Sedan,11194,,,,,,,,,,,,,,,,,,,,,,
WDDGF4HB2DA845206,Mercedes-Benz,C-Class,2013,C250 Sport,C250 Sport 4dr Sedan,34664,,,,,,,,,,,,,,,,,,,,,,
1GYS4JEF6ER104828,Cadillac,Escalade ESV,2014,Premium,AWD Premium 4dr SUV,34508,,,,,,,,,,,,,,,,,,,,,,
WBA3A9G57CNN67651,BMW,3 Series,2012,335i,335i 4dr Sedan,44544,,,,,,,,,,,,,,,,,,,,,,
2C3CDXBG6FH916825,Dodge,Charger,2015,SE,SE 4dr Sedan,23216,,,,,,,,,,,,,,,,,,,,,,
3D73Y4HLXBG535501,Ram,Ram Pickup 3500,2011,Laramie,4x4 Laramie 4dr Mega Cab 6.3 ft. SB Pickup,55698,,,,,,,,,,,,,,,,,,,,,,
