vin,make,model,year,trim,style,odometer,,,,,,,,,,,,,,,,,,,,,,
KMHHT6KD7EU113369,Hyundai,Genesis Coupe,2014,2.0T R-Spec,2.0T R-Spec 2dr Coupe,27292,,,,,,,,,,,,,,,,,,,,,,
1FA6P8CF5F5375470,Ford,Mustang,2015,GT Premium,GT Premium 2dr Fastback,14298,,,,,,,,,,,,,,,,,,,,,,
1N4AL3AP6FN377250,Nissan,Altima,2015,2.5 S,2.5 S 4dr Sedan,10969,,,,,,,,,,,,,,,,,,,,,,
4JGDA5JB8EA307456,Mercedes-Benz,M-Class,2014,ML350,ML350 4dr SUV,31197,,,,,,,,,,,,,,,,,,,,,,
WAUAFAFL8GA010397,Audi,A4,2016,2.0T Premium,2.0T Premium 4dr Sedan,3514,,,,,,,,,,,,,,,,,,,,,,
1GYS3JEF9DR229419,Cadillac,Escalade ESV,2013,Premium,Premium 4dr SUV,37550,,,,,,,,,,,,,,,,,,,,,,
1C4AJWBG8EL215503,Jeep,Wrangler,2014,Sahara,Sahara 2dr SUV 4WD,32053,,,,,,,,,,,,,,,,,,,,,,
1GKS2GKC1GR162698,GMC,Yukon XL,2016,SLT 1500,4x4 SLT 1500 4dr SUV,12660,,,,,,,,,,,,,,,,,,,,,,
3N1CE2CP9EL427905,Nissan,Versa Note,2014,S,SL 4dr Hatchback,31686,,,,,,,,,,,,,,,,,,,,,,
1G6AR5SX9F0131117,Cadillac,CTS,2015,,2T Luxury Collection 4dr Sedan,2773,,,,,,,,,,,,,,,,,,,,,,
WBADW3C55DE446885,BMW,3 Series,2013,328i,328i 2dr Convertible,27428,,,,,,,,,,,,,,,,,,,,,,
5TFCZ5AN3GX046613,Toyota,Tacoma,2016,,4dr Double Cab 4WD,4051,,,,,,,,,,,,,,,,,,,,,,
WBAXG5C57DD228684,BMW,5 Series,2013,528i,528i 4dr Sedan,45917,,,,,,,,,,,,,,,,,,,,,,
1FT7W2BT3EEA71672,Ford,F-250 Super Duty,2014,XLT,4x4 XLT 4dr Crew Cab 6.8 ft. SB Pickup,38584,,,,,,,,,,,,,,,,,,,,,,
2GKALMEK6E6189401,GMC,Terrain,2014,SLE-1,SLE-1 4dr SUV,17984,,,,,,,,,,,,,,,,,,,,,,
1FT7W2BT4FEC49882,Ford,F-250 Super Duty,2015,Lariat,4x4 Lariat 4dr Crew Cab 6.8 ft. SB Pickup,14451,,,,,,,,,,,,,,,,,,,,,,
1C4BJWEGXEL164070,Jeep,Wrangler Unlimited,2014,Sahara,Unlimted Sahara 4dr SUV 4WD,21946,,,,,,,,,,,,,,,,,,,,,,
5YJSA1H19FFP71477,Tesla,Model S,2015,85,85 4dr Sedan,19934,,,,,,,,,,,,,,,,,,,,,,
JTHBP262895004871,Lexus,IS F,2009,Base,4dr Sedan,36433,,,,,,,,,,,,,,,,,,,,,,
5TFRM5F11EX079721,Toyota,Tundra,2014,SR,4x2 SR 4dr Double Cab Pickup SB (4.6L V8),18066,,,,,,,,,,,,,,,,,,,,,,
1C4RJEBG2EC528821,Jeep,Grand Cherokee,2014,Limited,Limited 4dr SUV,42370,,,,,,,,,,,,,,,,,,,,,,
SALWG2VF7FA537636,Land Rover,Range Rover Sport,2015,SE,4x4 SE 4dr SUV,10681,,,,,,,,,,,,,,,,,,,,,,
1C4SDHCT5DC675994,Dodge,Durango,2013,R/T,R/T 4dr SUV,40772,,,,,,,,,,,,,,,,,,,,,,
WBY1Z2C59EVX51829,BMW,i3,2014,,4dr Hatchback,9903,,,,,,,,,,,,,,,,,,,,,,
4JGDF6EE3FA522790,Mercedes-Benz,GL-Class,2015,GL450 4MATIC,AWD GL450 4MATIC 4dr SUV,28493,,,,,,,,,,,,,,,,,,,,,,
1FA6P8CF8F5412673,Ford,Mustang,2015,GT,GT 2dr Fastback,2503,,,,,,,,,,,,,,,,,,,,,,
TRUK1AFK3D1009480,Audi,TTS,2013,2.0T quattro Prestige,AWD 2.0T quattro Prestige 2dr Coupe,19628,,,,,,,,,,,,,,,,,,,,,,
WVWBP7ANXDE549172,Volkswagen,CC,2013,Sport PZEV,Sport PZEV 4dr Sedan 6A,38537,,,,,,,,,,,,,,,,,,,,,,
1C4PJLCS8EW106050,Jeep,Cherokee,2014,Latitude,Latitude 4dr SUV,26499,,,,,,,,,,,,,,,,,,,,,,
1GNSKBE08ER123725,Chevrolet,Tahoe,2014,LT,4x4 LT 4dr SUV,27795,,,,,,,,,,,,,,,,,,,,,,
4S4BSBLC5F3211217,Subaru,Outback,2015,2.5i Limited,AWD 2.5i Limited 4dr Wagon,19630,,,,,,,,,,,,,,,,,,,,,,
1C4BJWDG1DL632493,Jeep,Wrangler Unlimited,2013,Sport,4x4 Sport 4dr SUV,34413,,,,,,,,,,,,,,,,,,,,,,
1G1YN2D67G5601894,Chevrolet,Corvette,2016,Z06,Z06 2dr Coupe w/1LZ,4322,,,,,,,,,,,,,,,,,,,,,,
JTMWFREV8DD012087,Toyota,RAV4,2013,XLE,XLE 4dr SUV (2.5L 4cyl ),18605,,,,,,,,,,,,,,,,,,,,,,
19UUB2F53FA000704,Acura,TLX,2015,V6 w/Tech,V6 4dr Sedan w/Technology Package,35924,,,,,,,,,,,,,,,,,,,,,,
1FTEW1EF8GFA23945,Ford,F-150,2016,XLT,4x4 XLT 4dr SuperCrew 5.5 ft. SB,13834,,,,,,,,,,,,,,,,,,,,,,
3GYFNEE30FS618264,Cadillac,SRX,2015,Luxury Collection,AWD Luxury Collection 4dr SUV,16901,,,,,,,,,,,,,,,,,,,,,,
5N1AL0MN8EC520465,Infiniti,QX60,2014,Base,4dr SUV,31778,,,,,,,,,,,,,,,,,,,,,,
JTHCF1D27E5006660,Lexus,IS 250,2014,Base,AWD 4dr Sedan,24119,,,,,,,,,,,,,,,,,,,,,,
3GCPCREC4EG150208,Chevrolet,Silverado 1500,2014,LT,4x2 LT 4dr Crew Cab 5.8 ft. SB,38685,,,,,,,,,,,,,,,,,,,,,,
2C3CDXBG8FH812708,Dodge,Charger,2015,SE,SE 4dr Sedan,29234,,,,,,,,,,,,,,,,,,,,,,
1GYS3CKJ0FR152382,Cadillac,Escalade,2015,Premium,Premium 4dr SUV,20774,,,,,,,,,,,,,,,,,,,,,,
WA1EFCFS7FR007699,Audi,Q3,2015,,AWD 2T quattro Premium Plus 4dr SUV,27554,,,,,,,,,,,,,,,,,,,,,,
JN1CV6EK4DM900316,Infiniti,G37 Coupe,2013,Journey,Journey 2dr Coupe,32378,,,,,,,,,,,,,,,,,,,,,,
5GAKRBKD3FJ327085,Buick,Enclave,2015,Leather,Leather 4dr SUV,24396,,,,,,,,,,,,,,,,,,,,,,
WBA3A5C56DF352966,BMW,3 Series,2013,328i,328i 4dr Sedan,31257,,,,,,,,,,,,,,,,,,,,,,
1GTR1VE00CZ219860,GMC,Sierra 1500,2012,SLE,SLE 4dr Extended Cab,33323,,,,,,,,,,,,,,,,,,,,,,
JTEZU5JR3B5024669,Toyota,4Runner,2011,SR5,SR5 4dr SUV,55161,,,,,,,,,,,,,,,,,,,,,,
2C3CCAGG5EH341950,Chrysler,300,2014,S,AWD S 4dr Sedan,14495,,,,,,,,,,,,,,,,,,,,,,
5J8TB3H35GL010668,Acura,RDX,2016,Base,4dr SUV,4865,,,,,,,,,,,,,,,,,,,,,,
1FT7W2BT5FEB63450,Ford,F-250 Super Duty,2015,Lariat,4x4 Lariat 4dr Crew Cab 6.8 ft. SB Pickup,33743,,,,,,,,,,,,,,,,,,,,,,
2C3CDZC95GH171482,Dodge,Challenger,2016,SRT Hellcat,SRT Hellcat 2dr Coupe,5822,,,,,,,,,,,,,,,,,,,,,,
1C6RR6FT2ES271727,Ram,Ram Pickup 1500,2014,Express,Express 4dr Quad Cab 6.3 ft. SWB (5.7L 8cyl ),38014,,,,,,,,,,,,,,,,,,,,,,
JTHBA1D27G5007045,Lexus,IS 200t,2016,,4dr Sedan,1126,,,,,,,,,,,,,,,,,,,,,,
WDDHF7GB1EA879811,Mercedes-Benz,E-Class,2014,E63 AMG S-Model,AWD E63 AMG S-Model 4MATIC 4dr Sedan,35681,,,,,,,,,,,,,,,,,,,,,,
1FT8W3DT5FEC70117,Ford,F-350 Super Duty,2015,Lariat,4x4 Lariat 4dr Crew Cab 8 ft. LB DRW Pickup,9792,,,,,,,,,,,,,,,,,,,,,,
19UUA8F51CA016854,Acura,TL,2012,w/Tech,4dr Sedan w/Technology Package,21832,,,,,,,,,,,,,,,,,,,,,,
WBAFR9C58DDX79896,BMW,5 Series,2013,550i,550i 4dr Sedan,41507,,,,,,,,,,,,,,,,,,,,,,
4JGDF2EE4FA561350,Mercedes-Benz,GL-Class,2015,GL350 BlueTEC,AWD GL350 BlueTEC 4MATIC 4dr SUV,9341,,,,,,,,,,,,,,,,,,,,,,
1GKS2BKC9FR143253,GMC,Yukon,2015,SLT,4x4 SLT 4dr SUV,46393,,,,,,,,,,,,,,,,,,,,,,
WBAKE3C52BE557319,BMW,3 Series,2011,328i,328i 2dr Coupe,40102,,,,,,,,,,,,,,,,,,,,,,
5TFFY5F14FX183709,Toyota,Tundra,2015,Limited,4x2 Limited 4dr CrewMax Cab Pickup SB (5.7L V8),14073,,,,,,,,,,,,,,,,,,,,,,
3C63DPAL6CG124705,Ram,Ram Pickup 3500,2012,ST,4x2 ST 2dr Regular Cab 8 ft. LB DRW Pickup,50884,,,,,,,,,,,,,,,,,,,,,,
